level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1240	1754	-1	
2	1	1	0	0	0	97	69	265	38	-1	
3	1	1	1	0	0	97	69	265	38	-1	
4	1	1	1	1	0	97	69	265	30	-1	
5	1	1	1	1	1	97	74	25	25	46.535721	43
5	1	1	1	1	2	133	69	83	15	89.036285	AusPost
5	1	1	1	1	3	223	69	139	19	86.742332	lodgement.pdf
4	1	1	1	2	0	135	92	46	15	-1	
5	1	1	1	2	1	135	92	46	15	86.287811	104K
2	1	2	0	0	0	97	131	268	39	-1	
3	1	2	1	0	0	97	131	268	39	-1	
4	1	2	1	1	0	97	131	268	31	-1	
5	1	2	1	1	1	97	137	25	25	39.237778	2
5	1	2	1	1	2	134	131	61	15	96.763618	Notice
5	1	2	1	1	3	202	131	18	15	96.985420	of
5	1	2	1	1	4	226	132	48	18	93.287521	entry
5	1	2	1	1	5	282	131	83	19	92.267334	lable.pdf
4	1	2	1	2	0	135	155	45	15	-1	
5	1	2	1	2	1	135	155	45	15	96.436050	136K
